,F152,F16,F185,F187,F252,F287,F321,F425,F457,F459,F46,F524,F572,F573,F574,F576,F577
788,0.3708,9.6851,8.15,10.32,4.2196,0.1114,2.8422,3.8282,5.6216,1.6217,734.0239,7.1316,11.81,0.1579,3.9963,2.2164,9.617
789,0.3816,9.7035,3.75,23.81,4.2741,0.1148,1.123,3.9331,2.5712,3.7774,724.2021,7.202,10.92,0.2937,3.7983,2.0444,17.6552
790,0.4472,10.7068,7.16,10.62,1.0559,0.1294,1.7329,4.1772,5.0179,1.7121,716.0344,1.8138,10.44,0.1893,3.7662,1.9423,10.9358
791,0.4066,9.1275,7.37,9.54,2.2967,0.1212,2.202,4.4551,4.9609,1.5253,715.0151,3.9088,6.87,0.3055,2.4142,1.2719,16.9748
792,1.1089,9.004,6.68,9.46,1.6248,0.3227,2.208,12.3159,4.53,1.5118,716.684,2.7792,6.87,0.3055,2.4142,1.2719,16.9748
793,0.3383,9.3579,6.54,12.42,1.5719,0.1085,1.9142,3.615,4.5271,2.002,712.8429,2.6891,8.42,0.3606,2.9357,1.5763,15.3241
794,0.4135,9.5449,3.04,13.03,3.438,0.1175,0.924,4.3325,2.1356,2.104,714.8495,6.1213,6.58,0.2566,2.3367,1.226,11.768
795,0.5885,9.8111,11,17.88,1.7824,0.1685,3.0533,5.9988,7.7011,2.8298,731.9578,3.05,9.43,0.5611,3.4173,1.7681,23.3488
796,0.5582,9.913,8.95,19.46,2.4871,0.1622,2.6021,5.6309,6.0995,3.0186,746.6661,4.2823,9.5,0.3875,3.4972,1.7927,16.6009
797,0.4841,9.6912,6.32,23.19,1.7657,0.137,1.802,4.9956,4.4178,3.6751,730.7969,2.9974,9.43,0.5611,3.4173,1.7681,23.3488
798,0.393,9.4838,7.79,22.5,4.6217,0.1156,2.4515,4.1439,5.3278,3.5563,729.5686,7.7927,9.43,0.5611,3.4173,1.7681,23.3488
799,0.2599,10.4251,8.45,9.58,3.5949,0.08,3.0452,2.4929,5.7272,1.5381,712.5725,6.1436,6.86,0.2798,2.3387,1.2888,12.6164
800,0.3,10.4363,6.19,11.16,3.2515,0.0903,2.0194,2.8742,4.1507,1.7729,719.7742,5.5349,7.71,0.2835,2.7384,1.441,16.6894
801,0.7348,9.4602,10.86,25.65,3.9187,0.2174,3.1061,7.7669,7.8719,4.0812,731.0689,6.6283,7.6801,0.3167,2.8315,1.4317,15.9851
802,0.2891,10.5181,4.75,21.29,4.0491,0.0904,1.442,2.7489,3.3337,3.3562,734.4737,6.8775,10.92,0.2937,3.7983,2.0444,17.6552
803,0.4404,9.3875,7.27,18.49,4.5352,0.127,2.1337,4.6917,5.141,2.925,731.294,7.6564,10.92,0.2937,3.7983,2.0444,17.6552
804,0.4486,9.4275,8.72,8.48,3.0466,0.1271,2.6015,4.7582,5.9605,1.3614,714.9829,5.1466,5.86,0.3071,2.1212,1.092,12.7505
805,0.4626,9.445,12.62,17.83,1.5886,0.1348,3.5487,4.8975,8.7571,2.7669,748.2793,2.7208,9.03,0.3924,3.1569,1.7048,16.6976
806,0.3288,10.3454,6.36,16.15,2.9195,0.0988,1.7377,3.178,4.4615,2.5617,729.2824,4.9617,10.92,0.2937,3.7983,2.0444,17.6552
807,0.5673,9.3152,5.29,13.55,4.368,0.163,2.0349,6.0905,3.6894,2.1864,712.9565,7.3843,8.72,0.2363,3.1199,1.6193,10.6737
808,0.3669,10.5031,6.26,24.86,3.8861,0.1079,2.1073,3.4934,4.4463,3.9536,731.4903,6.6341,8.72,0.2363,3.1199,1.6193,10.6737
809,0.4787,9.5662,5.86,24.78,2.5565,0.1392,1.6032,5.0037,4.223,3.8927,747.5561,4.4243,10.92,0.2937,3.7983,2.0444,17.6552
810,0.5055,9.7689,4.73,22.16,1.9252,0.1443,1.4716,5.1746,3.2721,3.4878,735.144,3.2544,9.43,0.5611,3.4173,1.7681,23.3488
811,0.499,9.4619,5.28,12.38,2.7669,0.1446,1.6837,5.2741,3.7007,1.9959,715.1215,4.6724,5.86,0.3071,2.1212,1.092,12.7505
812,0.1736,10.356,5.09,14.46,1.7496,0.0633,1.7217,1.6765,3.5771,2.3323,717.2754,3.0334,9.11,0.2426,3.0971,1.7008,10.8262
813,0.5558,9.9201,4.01,12.91,3.5707,0.1604,1.3778,5.6028,2.8347,2.0892,714.3267,6.0664,9.91,0.2574,3.5688,1.8529,10.6739
814,0.5307,9.949,3.89,17.34,2.5364,0.1549,1.1939,5.3339,2.8058,2.7689,728.1839,4.2968,13.09,0.2914,4.4838,2.453,12.7241
815,0.4474,9.4058,4.91,20.92,4.0226,0.1302,1.5035,4.7561,3.3725,3.2672,741.2535,6.979,9.5099,0.3054,3.4888,1.7787,14.0116
816,0.3761,9.4768,5.32,11.41,2.7963,0.1114,1.666,3.9686,3.7683,1.8474,713.5728,4.753,5.86,0.3071,2.1212,1.092,12.7505
817,0.4208,9.4026,5.33,14.48,4.465,0.1271,1.6517,4.4753,3.8076,2.3529,711.6864,7.6011,11.15,0.3498,3.8734,2.0931,15.6008
818,0.3598,9.5326,5.51,19.11,3.7685,0.1076,1.5429,3.7748,3.8558,2.999,740.2365,6.4429,10.92,0.2937,3.7983,2.0444,17.6552
819,0.4537,9.7047,7.78,23.29,3.8426,0.1308,2.184,4.6747,5.3878,3.7041,723.9949,6.5884,10.92,0.2937,3.7983,2.0444,17.6552
820,0.3669,9.5053,7.2,10.8,4.2292,0.1088,2.5837,3.8598,4.8222,1.7322,711.9609,7.1283,9.11,0.2426,3.0971,1.7008,10.8262
821,0.4733,9.9243,6.17,17.41,1.2313,0.1415,2.0385,4.7688,4.3969,2.8209,713.6255,2.135,10.59,0.3212,3.4596,1.9884,14.8682
822,0.4353,9.4304,7.38,16.78,2.4473,0.1245,2.4103,4.6155,5.5893,2.693,732.4333,4.2071,8.63,0.4327,3.0837,1.618,18.4445
823,0.5425,9.8218,8.12,9.78,2.0928,0.1555,2.7649,5.5234,5.3723,1.5589,715.3991,3.5409,11.81,0.1579,3.9963,2.2164,9.617
824,0.4249,9.6217,3.6,21.22,1.7235,0.1239,1.4175,4.4159,2.5049,3.379,724.0094,2.9493,9.97,0.1638,3.514,1.8666,7.5875
825,0.4949,9.724,5.67,15.96,2.6671,0.1409,1.9512,5.0896,4.0582,2.5914,713.864,4.5159,7.71,0.2835,2.7384,1.441,16.6894
826,0.3718,10.7958,4.94,11.57,4.2733,0.111,1.6939,3.4444,3.3221,1.8419,718.6023,7.3169,6.84,0.1489,2.2582,1.2779,7.9159
827,0.3387,10.7861,3.48,21.95,1.7144,0.1044,1.0957,3.1404,2.4228,3.5041,721.8324,2.9452,10.92,0.2937,3.7983,2.0444,17.6552
828,0.3443,9.716,8.2,18.21,1.972,0.1049,2.3501,3.5435,5.8196,2.8309,751.7935,3.323,7.5,0.2423,2.6046,1.4072,13.6214
829,0.4214,9.664,8.89,10.83,4.3701,0.1241,2.7791,4.3601,5.985,1.7304,715.4425,7.4239,8.63,0.4327,3.0837,1.618,18.4445
830,0.3048,9.5431,2.29,18.48,2.3929,0.094,0.9501,3.1943,1.6091,2.9377,727.6867,4.0788,10.92,0.2937,3.7983,2.0444,17.6552
831,0.4588,10.7168,6.12,20.83,3.1193,0.1332,2.076,4.2815,4.0661,3.311,717.3122,5.3171,9.62,0.2673,3.2966,1.7949,11.8075
832,0.419,10.0666,4.23,17.76,2.6597,0.1271,1.2854,4.162,2.9473,2.8122,729.5739,4.4839,10.92,0.2937,3.7983,2.0444,17.6552
833,0.507,10.6553,5.32,19.65,2.6328,0.158,1.5441,4.7584,3.7365,3.1389,722.5888,4.4912,10.92,0.2937,3.7983,2.0444,17.6552
834,0.3687,9.4594,5.24,16.53,2.2723,0.1122,1.6212,3.8975,3.8351,2.6638,722.0166,3.9199,10.8,0.3051,3.894,2.0351,15.1082
835,0.4143,9.4707,11.52,24.59,1.6236,0.1245,3.4049,4.3746,8.1753,3.966,716.5268,2.8032,7.19,0.2345,2.4961,1.3573,10.5084
836,0.4686,10.426,5.13,20.13,2.1441,0.1395,1.6571,4.4947,3.5899,3.2103,724.4595,3.6879,10.8,0.3051,3.894,2.0351,15.1082
837,0.3654,9.4661,4.62,18.64,2.7596,0.1105,1.5058,3.8603,3.3264,2.9687,729.8849,4.6779,9.57,0.26,3.3175,1.7901,11.5777
838,0.2378,10.4536,11.63,20.3,1.6717,0.0752,3.2962,2.275,8.2835,3.301,711.3435,2.9233,7.19,0.2345,2.4961,1.3573,10.5084
839,0.4763,9.7876,5.76,19.6,4.0584,0.1429,1.7515,4.8668,3.9477,3.1165,725.0493,6.8724,10.92,0.2937,3.7983,2.0444,17.6552
840,0.2941,10.332,4.54,23.04,1.536,0.0902,1.6301,2.8469,3.2539,3.6801,725.8182,2.6556,8.32,0.3284,2.9485,1.5631,14.5146
841,0.4312,9.7648,7.18,22.15,1.5621,0.1319,2.1532,4.416,4.962,3.4886,732.2075,2.6923,10.92,0.2937,3.7983,2.0444,17.6552
842,0.2446,10.3944,5.04,17.54,1.456,0.0744,1.4862,2.3535,3.5083,2.7943,724.1972,2.5148,13.49,0.2662,4.6475,2.5356,11.251
843,0.367,10.7348,8.15,18.17,1.7789,0.1159,2.7076,3.4192,5.7593,2.8892,729.0202,3.0136,6.66,0.3509,2.3039,1.2415,14.985
844,0.6192,9.9622,5.6,12.96,3.8807,0.1875,1.5863,6.2156,3.9001,2.0845,715.3783,6.6936,7.46,0.2142,2.6771,1.3901,12.3627
845,0.4427,9.9808,5.45,21.36,3.1242,0.132,1.5558,4.436,3.7885,3.3685,734.0051,5.4484,9.43,0.5611,3.4173,1.7681,23.3488
846,0.2308,10.3504,5.33,18.05,4.2827,0.0711,1.6002,2.2301,3.7742,2.8585,731.5726,7.247,13.44,0.2843,4.5361,2.5217,11.6852
847,0.4699,9.7158,6.89,19.1,4.3054,0.1369,2.555,4.8365,4.9679,3.0675,722.013,7.2167,10.8,0.3051,3.894,2.0351,15.1082
848,1.5035,9.2397,6.73,22.56,5.8064,0.4375,1.9488,16.2719,4.6822,3.6035,722.6588,10.4816,10.8,0.3051,3.894,2.0351,15.1082
849,1.5048,9.2191,12.05,22.94,0.849,0.4398,3.5813,16.3229,8.5178,3.6582,727.0588,1.4575,10.8,0.3051,3.894,2.0351,15.1082
850,0.3593,9.9852,7.83,24.23,4.3831,0.1088,2.1423,3.5979,5.5847,3.9144,717.5576,7.7421,10.59,0.3212,3.4596,1.9884,14.8682
851,0.387,9.9475,12.67,29.13,2.3058,0.1197,3.7184,3.8901,9.1126,4.6623,725.1346,3.9286,8.7,0.4908,3.1112,1.6268,24.1504
852,0.3609,10.6762,5.11,23.6,1.5727,0.1142,1.5164,3.3806,3.5438,3.7293,731.9505,2.6807,10.92,0.2937,3.7983,2.0444,17.6552
853,0.4097,9.9878,4.69,18.04,2.7908,0.1267,1.642,4.1015,3.1698,2.8452,725.6713,4.7708,8.98,0.1556,2.8688,1.6874,9.0462
854,0.3718,9.4302,3.57,15.22,4.2238,0.1147,1.2177,3.9428,2.5649,2.468,715.4936,7.0979,7.71,0.2835,2.7384,1.441,16.6894
855,0.4005,9.6012,4.22,17.31,2.9013,0.1195,1.3407,4.1708,2.9032,2.7668,719.4917,4.9409,10.92,0.2937,3.7983,2.0444,17.6552
856,0.4182,9.4419,8.34,15.84,4.6681,0.1258,2.8722,4.4294,5.8735,2.5236,727.5248,7.8737,6.59,0.4641,2.3352,1.2395,22.6363
857,0.2273,10.1661,5.37,20.21,2.5672,0.0838,1.6908,2.2356,3.7976,3.2252,725.0124,4.4957,10.59,0.3212,3.4596,1.9884,14.8682
858,0.4368,9.5631,8.99,18.44,4.1175,0.1272,3.2259,4.5674,6.1482,2.935,722.6774,6.9403,9.34,0.4487,3.21,1.7511,20.9001
859,0.4255,9.569,8.99,16.21,4.1623,0.1245,3.0551,4.4463,6.1642,2.5835,721.9045,7.0057,13.49,0.2662,4.6475,2.5356,11.251
860,0.3801,10.562,6.66,10.05,1.7818,0.1137,2.4011,3.5987,4.5479,1.5877,728.2708,3.0472,10.83,0.2222,4.0301,2.0351,9.0851
861,0.4123,10.5937,8.75,11.52,1.7835,0.1237,2.8019,3.8917,6.3465,1.8505,723.4291,3.1185,5.3,0.3411,1.7213,0.9842,16.4231
862,0.4535,9.5612,7.74,25.22,1.8255,0.131,2.5868,4.7431,5.5597,4.0305,728.0075,3.0808,10.06,0.426,3.1648,1.8982,19.0062
863,0.6752,10.8515,9.11,15.96,4.0904,0.1909,2.9778,6.2223,6.6745,2.5478,730.4559,6.8482,11.2401,0.3324,4.0427,2.1095,16.6163
864,0.436,9.6333,7.22,12.25,1.9425,0.1276,2.3123,4.5257,4.8803,1.9298,728.2345,3.3183,10.09,0.4944,3.3335,1.8932,22.2222
865,0.4243,9.4945,5.87,20.76,4.0167,0.1241,1.668,4.469,4.2357,3.2726,739.5795,6.896,10.92,0.2937,3.7983,2.0444,17.6552
866,1.079,9.1253,6.31,19.72,1.5123,0.3155,1.9207,11.8243,4.4618,3.1358,729.0667,2.6228,9.57,0.26,3.3175,1.7901,11.5777
867,0.3187,9.4524,6.12,20.03,4.4775,0.0895,2.3323,3.3722,4.4494,3.2016,727.809,7.5535,9.6,0.2265,3.1446,1.8232,8.6457
868,1.1243,8.9137,3.9,18.75,1.76,0.3243,1.383,12.613,2.7621,2.9886,727.0812,2.9828,10.59,0.3212,3.4596,1.9884,14.8682
869,1.1376,9.1711,3.35,16.67,3.3153,0.331,1.0193,12.4046,2.3519,2.6491,726.6866,5.6942,10.87,0.4214,3.7567,2.0487,19.6759
870,0.4375,10.341,8.09,20.26,2.0921,0.1273,2.558,4.2307,5.7909,3.2509,725.6465,3.5403,8.72,0.2363,3.1199,1.6193,10.6737
871,1.103,9.056,6.83,20.8,1.8923,0.3243,2.1851,12.1794,4.8782,3.3224,727.9092,3.2012,9.43,0.1909,3.4259,1.7637,9.3398
872,0.3958,9.4485,6.98,21.48,1.6026,0.1184,2.2984,4.1894,5.108,3.4536,723.7923,2.6522,7.93,0.3379,2.8686,1.4841,15.4868
873,0.4045,9.6223,5.37,17.97,1.7846,0.1253,1.7311,4.2042,3.8504,2.8743,723.1792,3.0254,8.64,0.2994,3.0979,1.6245,13.283
874,0.4647,9.8314,10.77,13.28,4.0498,0.1401,3.1894,4.7268,7.3885,2.1063,724.6598,6.8634,13.81,0.1976,4.7519,2.5982,8.8308
875,0.6568,9.5789,7.66,10.45,1.1999,0.2044,2.63,6.8573,5.3791,1.6582,727.0927,2.0388,6.77,0.3033,2.1846,1.2631,13.7684
876,0.4787,9.7225,4.27,20.84,1.9319,0.1379,1.2935,4.9233,2.9769,3.3021,728.5316,3.3946,8.25,0.2209,2.7668,1.5494,9.8105
877,0.4583,9.5479,10.11,11.54,3.4711,0.1347,3.4357,4.7998,6.8844,1.833,720.4397,5.8881,8.64,0.2994,3.0979,1.6245,13.283
878,1.0796,9.2977,6.69,17.15,3.213,0.3161,2.4847,11.6119,4.8926,2.7481,725.8119,5.4364,9.6,0.497,3.3367,1.8042,23.1735
879,0.4594,9.8668,4.29,18.3,1.6359,0.1388,1.4756,4.6556,3.0232,2.9293,719.9646,2.7789,8.64,0.2994,3.0979,1.6245,13.283
880,0.4878,9.3553,14.41,16.34,2.8398,0.1403,4.5611,5.2147,10.6861,2.6336,723.2306,4.7912,5.73,0.3258,2.0931,1.0708,15.2286
881,0.4675,9.9673,3.62,19.64,4.1972,0.1395,0.9855,4.6902,2.5033,3.0664,741.3965,7.1076,8.49,0.3689,2.7936,1.5979,16.4543
882,0.3648,9.9886,5.26,17.14,3.9695,0.1257,1.4546,3.6523,3.839,2.7492,726.6517,6.8437,9.6,0.497,3.3367,1.8042,23.1735
883,0.231,10.1392,9.7,17.63,3.5472,0.0794,2.74,2.2778,6.8298,2.7684,738.1128,6.1768,10.33,0.264,3.4623,1.9535,10.5239
884,0.4821,9.2823,10.13,21.23,4.2748,0.1381,2.9418,5.1933,7.057,3.3949,720.8888,7.1807,8.64,0.2994,3.0979,1.6245,13.283
885,1.0494,9.3874,5.84,18.05,3.0877,0.3048,1.693,11.1789,4.2331,2.9151,718.6485,5.4861,10.19,0.3099,3.577,1.9107,13.1943
886,0.501,9.461,2.78,22.12,3.0026,0.143,0.8527,5.295,1.9393,3.5026,728.3762,5.0503,9.43,0.1909,3.4259,1.7637,9.3398
887,0.4765,9.8632,9.6,23.24,5.2181,0.1373,2.8589,4.8315,6.9667,3.7391,720.9099,9.4122,10.93,0.2775,3.7154,2.0496,11.8225
888,0.4576,9.6319,3.58,14.5,3.9144,0.1301,1.1751,4.7513,2.5156,2.3298,717.7125,6.8916,10.87,0.4214,3.7567,2.0487,19.6759
889,0.9835,9.0113,11.44,18.97,4.6071,0.2871,3.7472,10.9135,8.4441,3.0175,737.106,7.7103,438.87,2.1967,131.4529,86.9192,96.9601
890,1.0082,9.0486,5.1,22.52,4.8735,0.2958,1.9789,11.1417,3.6754,3.5512,738.5988,8.2171,10.93,0.2775,3.7154,2.0496,11.8225
891,1.1095,8.9012,4.81,16.84,4.1783,0.3298,1.1489,12.4642,3.3976,2.6967,722.471,7.0555,7.54,0.2768,2.5601,1.416,11.5084
892,0.4743,9.5651,6.83,19.74,2.4001,0.1409,2.1397,4.9591,4.8721,3.1746,718.9224,3.9656,7.98,0.2889,2.7589,1.5079,15.1238
893,1.0922,8.9461,4.21,20.78,2.1184,0.3169,1.2422,12.2085,3.0757,3.3357,722.7385,3.7441,6.77,0.3033,2.1846,1.2631,13.7684
894,0.3868,9.8208,9.24,17.97,2.0168,0.1204,2.9904,3.9383,6.5142,2.8381,732.9942,3.596,9.6,0.497,3.3367,1.8042,23.1735
895,0.3986,10.2551,3.36,19.72,4.005,0.1217,1.0619,3.8871,2.3404,3.1663,717.7088,6.8395,10.87,0.4214,3.7567,2.0487,19.6759
896,0.4345,10.2349,3.69,15.89,4.8998,0.1299,1.3626,4.2455,2.5774,2.5232,727.4944,8.2217,9.64,0.2706,3.2678,1.8056,11.6113
897,1.1338,9.0831,6.77,19.28,1.1713,0.3235,1.8306,12.4825,4.8399,3.0838,726.2906,2.0005,10.8,0.3051,3.894,2.0351,15.1082
898,1.0415,9.4618,4.9,14.11,3.357,0.3044,1.926,11.0074,3.5903,2.264,725.6058,5.7447,8.49,0.3689,2.7936,1.5979,16.4543
899,0.4488,9.8208,4.49,18.22,4.3399,0.1345,1.5739,4.5695,3.2757,2.9397,720.9392,7.2995,11.15,0.1571,4.1012,2.0998,7.5578
900,0.3844,10.2023,6.66,17.8,2.0441,0.1158,2.1008,3.7675,4.8416,2.8587,726.5575,3.4585,9.6,0.2265,3.1446,1.8232,8.6457
901,1.0015,8.9907,5.76,16.3,4.0684,0.2898,2.1549,11.1392,4.1381,2.6027,726.1715,6.9308,9.6,0.2265,3.1446,1.8232,8.6457
902,0.4697,9.6166,9.99,18,3.7027,0.1357,2.9619,4.8847,7.0988,2.8381,738.0399,6.43,10.33,0.264,3.4623,1.9535,10.5239
903,0.5132,9.6319,4.41,16.98,1.5156,0.1464,1.3406,5.3281,3.1216,2.7005,728.1972,2.6076,10.93,0.2775,3.7154,2.0496,11.8225
904,0.5075,9.8192,3.28,21.49,4.9296,0.1461,1.1654,5.1683,2.2911,3.4424,719.9267,8.5321,10.87,0.4214,3.7567,2.0487,19.6759
905,0.9705,9.0208,4.77,23.21,2.2305,0.2851,1.8387,10.7583,3.4548,3.6562,738.1704,3.7693,9.6,0.2265,3.1446,1.8232,8.6457
906,0.4586,10.0515,9.17,17.36,3.7456,0.1317,2.7855,4.563,6.8983,2.7562,737.3702,6.3393,438.87,2.1967,131.4529,86.9192,96.9601
907,0.4227,9.6184,5.46,21.65,3.8886,0.1219,1.684,4.3943,3.9526,3.484,721.9532,6.6564,9.6,0.497,3.3367,1.8042,23.1735
908,0.4236,9.8202,9.07,17.7,1.4137,0.121,2.7471,4.313,6.6998,2.845,723.4327,2.4238,438.87,2.1967,131.4529,86.9192,96.9601
909,0.3216,10.1146,15.5,18.39,2.2475,0.1054,4.4563,3.1794,11.1137,2.8987,738.9155,4.0139,9.6,0.497,3.3367,1.8042,23.1735
910,0.5081,9.8037,8.72,11.51,3.8453,0.1473,2.8732,5.1826,5.9502,1.8248,724.3619,6.7211,10.27,0.4006,3.5201,1.9288,17.8615
911,0.4981,9.7386,5.98,18.66,3.9912,0.141,1.8022,5.1149,4.099,2.931,733.772,6.7481,9.94,0.2182,3.2617,1.872,9.3821
912,0.4185,9.8406,4.59,16.22,3.4003,0.1267,1.4866,4.2527,3.2329,2.5931,722.5029,6.0948,10.87,0.4214,3.7567,2.0487,19.6759
913,0.53,9.5592,5.48,14.23,2.2767,0.1574,1.8356,5.5446,3.7017,2.2491,726.0629,4.0597,11.76,0.2441,4.0477,2.2071,10.5023
914,1.0866,9.0489,2.56,21.98,1.3792,0.3171,0.846,12.0086,1.7939,3.4779,728.7911,2.3494,8.64,0.2994,3.0979,1.6245,13.283
915,0.4554,10.1233,5.9,18.65,3.1878,0.1376,1.8636,4.4985,4.272,2.9899,721.5574,5.2709,10.04,0.3092,3.3601,1.9065,15.9889
916,0.4057,10.1078,4.97,16.13,1.6098,0.1253,1.5551,4.0133,3.5298,2.5894,718.5383,2.9091,8.68,0.3804,2.9407,1.6438,19.7842
917,0.4442,10.1653,7.38,18.16,1.6022,0.136,2.0004,4.37,5.4939,2.9008,731.4563,2.913,6.32,0.2679,2.0635,1.1851,13.1553
918,0.4148,10.115,7.77,17.16,4.2339,0.1248,2.0951,4.1007,5.5338,2.7618,716.7507,6.9087,6.32,0.2679,2.0635,1.1851,13.1553
919,0.5782,9.4421,4.67,19.87,4.7377,0.1662,1.305,6.1238,3.2119,3.1864,717.0695,7.987,5.73,0.3258,2.0931,1.0708,15.2286
920,0.4059,9.8593,5.43,21.11,1.6795,0.1266,1.6319,4.1171,3.7523,3.3722,722.0483,2.8894,6.66,0.3509,2.3039,1.2415,14.985
921,0.5049,10.2256,6.41,21.11,1.5975,0.146,2.193,4.9374,4.6359,3.3436,734.1837,2.89,8.0099,0.1878,2.6198,1.5125,8.6853
922,0.1756,10.0038,4.85,17.38,3.8327,0.0613,1.5855,1.7551,3.3881,2.7987,716.0921,6.5578,10.87,0.4214,3.7567,2.0487,19.6759
923,0.45,9.4479,267.91,307.93,2.1368,0.126,79.1515,4.7635,164.1093,47.7772,716.2893,3.7102,7.5,0.2423,2.6046,1.4072,13.6214
924,0.5178,9.8942,6.8,20.65,3.7267,0.1502,2.4824,5.2331,4.8328,3.3081,722.0729,6.2921,8.64,0.2994,3.0979,1.6245,13.283
925,0.4738,9.5013,7.15,15.25,1.4629,0.1364,2.6601,4.9864,4.923,2.3865,738.4106,2.5076,9.28,0.4372,3.1494,1.7379,17.0523
926,1.0541,8.9468,7.02,17.94,3.5784,0.3072,2.0883,11.7815,4.7337,2.8182,728.7185,6.0609,8.64,0.2994,3.0979,1.6245,13.283
927,0.4258,10.0975,7.38,20.31,2.504,0.1334,2.2198,4.2173,5.4879,3.2594,728.1852,4.2789,9.6,0.497,3.3367,1.8042,23.1735
928,0.4622,9.4609,5.62,14.6,4.3997,0.1297,1.7212,4.8857,3.9177,2.3166,728.2089,7.4038,10.37,0.3107,3.4939,1.9417,14.6551
929,0.3886,9.8875,4.39,18.1,2.1898,0.1171,1.5357,3.9306,2.9379,2.8426,727.6497,3.7867,8.64,0.2994,3.0979,1.6245,13.283
930,1.2251,9.196,5.11,18.51,3.5954,0.3567,1.6051,13.3222,3.6377,2.946,727.2724,6.072,9.94,0.2182,3.2617,1.872,9.3821
931,0.4245,9.9552,5.72,21.06,4.7491,0.1301,2.0819,4.2643,4.2214,3.3403,737.1451,8.3327,11.76,0.2441,4.0477,2.2071,10.5023
932,0.4381,9.7939,12.63,19.66,4.886,0.1262,3.5776,4.4733,9.1909,3.1533,723.6476,8.5367,10.93,0.2775,3.7154,2.0496,11.8225
933,0.515,9.76,11.13,20.24,4.571,0.1465,3.4512,5.2769,8.2147,3.2483,726.2325,7.6512,10.93,0.2775,3.7154,2.0496,11.8225
934,0.4772,10.0281,7.41,20.1,4.6922,0.1473,2.0794,4.7584,5.5577,3.2205,730.4212,7.6505,6.32,0.2679,2.0635,1.1851,13.1553
935,0.205,10.188,9.99,21.54,3.3994,0.0694,2.5534,2.0122,7.214,3.4331,727.5118,5.825,9.6,0.497,3.3367,1.8042,23.1735
936,0.4158,9.6284,10.05,20.72,4.6881,0.1219,3.3597,4.319,7.4474,3.336,723.2051,8.2568,438.87,2.1967,131.4529,86.9192,96.9601
937,0.4814,10.0507,3.33,19.41,1.0904,0.1425,1.1423,4.7896,2.3715,3.1103,722.6069,1.902,10.93,0.2775,3.7154,2.0496,11.8225
938,0.52,10.0085,3.01,17.51,2.5027,0.1542,0.9397,5.1957,2.1138,2.8032,720.5629,4.3193,10.87,0.4214,3.7567,2.0487,19.6759
939,1.1952,9.1976,7.63,15.36,4.1048,0.3464,2.5078,12.995,5.3316,2.4511,723.5616,6.937,7.28,0.4502,2.2773,1.3646,20.3592
940,0.4142,9.7657,3.95,17.59,5.2773,0.1205,1.1749,4.2415,2.7714,2.8079,723.6265,9.1723,10.44,0.3893,3.6654,1.9655,17.0028
941,0.3884,9.9024,7.4,16.94,2.8954,0.1218,2.1435,3.9223,5.114,2.6665,732.655,5.1434,7.28,0.4502,2.2773,1.3646,20.3592
942,1.272,9.0907,10.48,13.61,3.9001,0.3689,2.9023,13.9922,7.2598,2.1554,727.2059,6.7024,9.94,0.2182,3.2617,1.872,9.3821
943,0.5016,10.1866,5.56,19.26,3.7827,0.149,2.017,4.9246,4.0114,3.041,737.3929,6.569,8.49,0.3689,2.7936,1.5979,16.4543
944,0.4737,9.7454,5.4,18.45,2.9102,0.1359,2.1514,4.8611,3.7468,2.9024,735.2766,4.8689,9.94,0.2182,3.2617,1.872,9.3821
945,0.4202,9.9095,6.22,14.28,1.0055,0.1292,2.158,4.24,4.2313,2.2597,725.5783,1.7401,9.94,0.2182,3.2617,1.872,9.3821
946,0.4062,9.6994,7.97,20.88,3.1647,0.1211,2.0302,4.1881,5.7626,3.3721,720.3286,5.418,10.59,0.3212,3.4596,1.9884,14.8682
947,0.2106,9.9406,6.43,20.49,4.1545,0.0728,2.1752,2.1189,4.5463,3.2448,732.331,7.2493,8.05,0.4025,2.6506,1.518,16.7005
948,0.2294,9.7937,8.49,13.65,4.6095,0.0763,2.867,2.3424,5.8809,2.1053,754.7813,7.7937,9.08,0.1849,3.267,1.6975,10.5108
949,0.388,9.6492,3.9,18.56,3.6612,0.1241,1.3837,4.0211,2.6199,2.9443,720.8008,6.2832,8.64,0.2994,3.0979,1.6245,13.283
950,0.3645,9.7339,8.47,22.14,3.3475,0.1134,2.5412,3.7441,6.0883,3.5238,729.6448,5.8429,10.8,0.3051,3.894,2.0351,15.1082
951,0.3986,9.8637,11.08,20.84,3.6151,0.1268,3.0152,4.0413,8.085,3.3167,733.1945,5.9819,7.28,0.4502,2.2773,1.3646,20.3592
952,0.2743,10.0034,9.21,11.21,1.6454,0.094,2.9572,2.7424,6.3738,1.7756,727.1115,2.9892,11.76,0.2441,4.0477,2.2071,10.5023
953,1.1893,9.3127,8.17,13.35,3.2979,0.3416,2.4267,12.7709,5.721,2.1187,728.376,5.6538,10.44,0.3893,3.6654,1.9655,17.0028
954,1.2918,9.1953,5.36,20.53,4.9823,0.3751,1.8338,14.0489,3.8264,3.2309,739.3003,8.5895,8.09,0.2577,2.5445,1.5214,10.9533
955,0.3894,10.0565,4.05,22.18,1.8897,0.1236,1.3247,3.8721,2.8828,3.4982,735.2772,3.278,8.05,0.4025,2.6506,1.518,16.7005
