,Time,Pass/Fail,F1,F2,F3,F4,F6,F7,F8,F9,F10,F11,F12,F14,F15,F16,F17,F18,F19,F20,F22,F23,F24,F25,F28,F29,F30,F31,F36,F37,F38,F40,F41,F43,F44,F45,F46,F47,F48,F50,F51,F53,F54,F55,F56,F58,F59,F60,F61,F62,F63,F64,F65,F66,F68,F70,F71,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F86,F87,F88,F89,F90,F91,F96,F98,F99,F102,F107,F108,F109,F110,F111,F113,F115,F116,F117,F118,F119,F120,F121,F122,F125,F126,F127,F128,F129,F130,F132,F133,F134,F136,F137,F138,F139,F144,F145,F146,F150,F151,F152,F155,F156,F160,F161,F162,F166,F167,F168,F170,F171,F173,F175,F176,F181,F182,F183,F184,F187,F188,F195,F206,F209,F210,F211,F212,F213,F214,F215,F216,F217,F218,F222,F223,F224,F227,F228,F244,F246,F248,F249,F252,F254,F255,F268,F270,F272,F274,F277,F280,F281,F285,F286,F287,F290,F295,F296,F297,F303,F304,F305,F306,F308,F311,F316,F317,F318,F320,F321,F324,F342,F344,F346,F347,F348,F349,F350,F351,F352,F353,F354,F355,F356,F361,F382,F383,F385,F389,F390,F405,F406,F416,F418,F419,F423,F432,F433,F460,F468,F472,F473,F478,F480,F482,F483,F484,F485,F486,F487,F488,F489,F491,F496,F499,F500,F510,F511,F521,F526,F545,F546,F547,F548,F558,F559,F562,F563,F564,F570,F571,F573,F574,F575,F577,F579,F581,F586,F587,F589
1151,2008-09-28 9:50,1,2539.5,2228.9445,1502.7821,1.2895,100.6867,0.1235,1.4797,-0.0047,-0.0056,0.9702,198.8132,4.805,419.9878,10.0528,0.9751,188.7604,12.5167,1.4014,2609.25,-1495.25,-1423.0,1.3128,72.4667,2.4444,0.1868,3.3516,49.8545,66.3203,86.7663,79.86,3.2,347.8155,10.1878,137.4009,725.9916,0.9757,137.2473,622.4636,104.3997,4.556,4.847,2841.0,0.9316,4.5186,-0.8218,349.4627,10.4641,116.5791,7.2614,20.8218,22.0031,703.9885,151.2782,617.32,156.3049,,0.0,0.0044,-0.0253,0.0115,0.0036,0.001,-0.005,-0.0316,-0.018,7.0992,0.1378,2.4094,0.9923,1779.4967,0.1823,9302.2499,0.0112,-0.3482,-0.7516,0.4492,-0.0907,-0.0637,0.0082,0.9779,105.1991,230.4791,0.9517,802.1753,0.9888,59.7089,0.5786,0.9644,6.3474,15.89,2.948,1.026,2.926,0.5064,3.359,-2.789,0.8336,2.3797,1009.8944,40.702,96.3,120.8,61.1001,1275.644,0.4455,0.0796,0.0288,4.66,10.987,0.452,0.4,0.1214,431.0,8056.0,3812.0,4.1,1.0,0.123,0.6419,0.1024,0.5604,1.0777,0.2094,0.313,9.1,25.288,0.0787,17.36,27.088,0.244,0.0,0.0,0.0805,0.0833,0.0733,0.0475,0.1076,0.1187,0.0606,0.166,4.2818,0.0009,52.5443,0.0291,0.032,0.0232,0.003,4.0941,0.0246,0.0,2.7754,0.0113,0.1849,15.98,110.2954,38.0029,402.7377,2.8962,0.0229,0.0078,1.8839,3.3973,0.1334,0.1166,194.3989,3869.9327,2010.3032,0.035,0.1838,0.2533,0.0428,0.2029,0.0853,5.5772,0.1033,2.6258,0.024,1.1183,8.1566,0.0,26.7436,,0.0,0.0227,0.0346,0.033,0.0217,0.0286,0.0545,0.0271,0.0849,1.5189,16.9054,0.0008,0.452,,0.0005,0.9293,0.0289,5.2393,2.5912,0.0,510.8647,96.9823,538.7728,267.8848,25.9464,968.5841,206.2972,38.2291,0.0,46.4278,0.0,329.249,638.78,0.0,0.0,0.0,191.6206,922.2222,3.8064,15.9681,0.0,735.0495,69.3548,69.5652,0.0,1.171,6.9977,1.2822,408.624,75.13,0.9767,0.3792,264.272,0.5671,4.98,530.2409,1.9614,0.2936,3.8239,0.084,14.9692,,,0.0275,0.0108,39.1032
1185,2008-09-29 21:48,1,2500.85,2231.9555,1943.0435,1.2758,96.8789,0.1224,1.6105,-0.0184,0.0023,0.9759,199.5993,11.1564,404.6389,11.2656,0.9801,188.3338,12.5743,1.4183,2632.0,-3986.75,176.75,1.298,66.6333,2.9444,0.2341,3.3808,49.337,66.346,86.3766,78.93,3.074,351.7645,10.0274,137.4809,730.6716,1.2821,142.1173,631.3627,227.3162,4.609,4.839,2842.0,0.9337,4.6824,-2.9491,352.0282,10.5095,114.5318,17.6954,22.9491,29.8753,700.7964,147.1073,613.6673,103.7037,464.9044,0.0,-0.0101,-0.0134,-0.0116,0.004,-0.032,0.0017,-0.0139,0.0162,7.1451,0.1236,2.3644,0.9854,1807.5345,0.1573,8796.38,0.0568,-0.0183,0.2208,-0.0177,0.0254,0.176,-0.0249,0.9806,102.301,229.4757,0.9371,762.7248,0.9909,59.422,0.5803,0.9808,6.2999,15.84,3.22,1.305,2.848,0.5538,3.236,-2.742,0.828,2.3932,1008.6144,37.9015,79.6,37.3,58.2,333.4561,0.1676,0.0607,0.0518,14.429,9.834,5.8658,0.2,0.0688,658.0,2275.0,797.0,2.0,1.4,0.083,0.6624,0.108,0.6219,0.8904,0.2928,0.449,13.72,29.609,0.1302,19.4,85.509,0.291,0.0,0.0,0.0659,0.0742,0.0432,0.0533,0.0306,0.0443,0.0863,0.0611,4.3348,0.0099,125.4525,0.0303,0.0248,0.0096,0.0015,5.175,0.0304,0.0,1.1465,0.0043,0.3123,14.94,33.6285,15.0391,109.9168,1.6708,0.0153,0.0179,4.0886,2.935,1.7851,0.055,316.8417,975.459,331.7121,0.025,0.1839,0.2585,0.044,0.2313,0.1161,5.2397,0.1563,4.2915,0.0382,1.8991,24.862,0.0,18.0338,1.8815,0.0,0.0179,0.0331,0.0195,0.0231,0.0091,0.0231,0.041,0.0334,1.2337,48.9242,0.0005,0.4671,,0.0003,0.4151,0.0349,5.5142,3.5954,329.5555,0.0,129.3343,57.064,450.9194,37.6168,221.0847,120.8787,28.4107,0.0,61.0721,650.7571,553.7313,373.2181,0.0,95.4857,0.0,621.982,376.5794,4.6133,19.2837,0.0,919.7605,37.4026,0.0,0.0,0.4412,8.3977,0.8217,399.85,73.5,0.9979,0.5038,251.462,0.6395,5.63,533.9936,2.2318,0.3001,2.7629,0.0861,13.4487,,,0.0233,0.0138,59.1201
1189,2008-09-30 2:44,1,2534.16,2244.9778,2208.4483,1.9074,87.2789,0.1217,1.4304,0.0214,0.0105,0.972,199.1069,5.0037,419.6754,8.8323,0.9723,190.2745,12.4727,1.4231,2780.0,-3680.75,-1839.6667,1.2585,74.4667,2.2556,0.1716,3.4607,49.7491,65.8701,86.8475,82.25,3.023,366.8036,9.9675,138.1891,748.8367,1.3281,138.43,643.4227,229.9528,4.651,4.908,2811.0,0.9228,4.5422,1.9336,365.0336,10.4706,120.1227,11.7563,18.0664,22.2958,726.5409,146.51,631.6664,172.4718,468.6698,0.0,0.0005,-0.033,0.072,0.072,-0.0181,0.0063,0.0046,0.0568,7.8318,0.1263,2.4358,0.9866,1782.5934,0.2086,8643.1998,0.0458,0.3193,-0.6521,0.0326,-0.0313,0.0313,-0.0684,0.9813,101.6603,229.5324,0.9359,644.4724,0.9892,59.2754,0.5935,0.9802,5.8821,15.84,3.22,1.305,2.848,0.5538,3.236,-2.742,0.828,2.3932,1008.6144,37.9015,184.9,170.6,55.5,265.99,0.0958,0.0528,0.0501,10.067,9.9,1.2099,0.37,0.0662,815.0,1176.0,1633.0,3.5,1.8,0.153,0.5831,0.0865,0.7575,0.7197,0.2997,0.74,12.37,22.126,0.1791,14.67,55.975,0.084,0.0,0.0,0.0696,0.0485,0.0477,0.0207,0.0423,0.0529,0.0452,0.075,5.2103,0.0019,140.7758,0.1083,0.0083,0.0149,0.0011,3.5718,0.031,0.0,3.5301,0.0037,0.2902,14.94,20.1882,58.4339,93.1951,1.0322,0.0145,0.0124,3.1856,3.1737,0.352,0.1091,333.1076,550.6913,826.5436,0.0493,0.1113,0.2333,0.0377,0.2822,0.1075,7.201,0.2265,3.8924,0.0494,2.0179,17.9387,0.0,19.8822,3.3499,0.0,0.0217,0.023,0.0232,0.0088,0.0112,0.026,0.0249,0.0328,1.674,42.5772,0.0003,0.4574,0.0044,0.0007,1.0919,0.0349,5.5142,2.6284,246.4411,476.0095,201.19,31.95,88.7661,24.3419,427.1744,161.2747,45.7203,0.0,40.3881,0.0,147.1927,66.273,28.76,234.0249,839.6825,987.9781,131.9261,1.6633,51.9204,620.5607,0.0,46.1388,662.8571,0.0,0.3795,6.7814,0.7023,408.322,73.842,1.0186,0.3253,272.118,0.5914,8.83,529.6464,2.032,0.3435,2.0923,0.0925,16.9045,,,0.0262,0.0104,39.5528
1211,2008-01-10 5:56,1,2524.13,2194.9555,1108.2246,1.2476,102.2822,0.1202,1.3969,-0.0074,-0.0152,0.9813,198.3979,8.2379,417.0552,9.7887,0.9794,188.6092,12.5967,1.3992,2712.0,-3206.0,-4729.3333,1.2808,70.8667,2.1667,0.1621,3.4173,49.2497,65.9682,87.0029,76.87,2.987,350.9209,9.9564,141.9409,734.0956,0.8276,135.5755,628.4373,113.4523,4.595,4.848,2844.0,0.9316,4.7136,-3.0055,352.1955,10.3509,118.9355,10.5443,23.0055,28.1353,705.9604,148.0582,619.1891,102.6625,461.0109,0.0,0.0234,-0.0349,0.0906,0.0358,-0.0293,-0.0435,0.001,0.0076,7.1179,0.1334,2.4292,0.965,1838.7309,0.1915,8805.1702,0.115,0.0173,-0.1438,0.0698,0.0757,0.0181,-0.2123,,,,0.9521,657.0988,0.991,58.3692,0.606,0.9811,6.2779,15.74,2.788,0.9649,2.768,0.4466,3.114,-1.939,0.8568,2.292,996.0538,36.4259,114.1,54.5,67.0999,373.947,0.0937,0.046,0.0412,4.879,11.876,0.3949,0.27,0.0449,487.0,4556.0,4029.0,2.7,1.3,0.108,0.7512,0.2973,0.7077,0.7607,0.1947,0.779,14.23,30.586,0.0902,20.67,14.421,0.335,0.0,0.0,0.0743,0.0487,0.1082,0.0689,0.0924,0.0406,0.0566,0.1147,5.0097,0.0123,136.2786,0.0343,0.0282,0.0253,,,0.0244,0.0,2.6246,0.004,0.2922,24.621,29.9917,18.9557,141.0297,2.2477,0.0139,0.0134,1.4375,3.8199,0.1253,0.0615,201.9191,1902.3787,2149.6768,0.0357,0.1673,0.3146,0.136,0.2727,0.0844,6.2505,0.2295,4.2884,0.0242,2.4318,4.9936,0.0,24.0857,2.9679,0.0,0.0217,0.0206,0.0487,0.034,0.0278,0.0195,0.0302,0.0554,1.5676,52.0311,,,,0.0003,0.7179,0.022,7.6188,4.7419,624.2578,271.8351,59.2262,142.1085,85.1917,12.7111,247.8822,154.3011,32.3836,0.0,79.1789,317.946,139.5415,119.426,192.5926,315.0895,93.4407,0.0,0.0,1.6486,17.9068,0.0,236.5868,52.8402,586.6667,0.0,0.4084,7.8131,0.8217,399.85,73.5,0.9876,0.4895,,,,533.9936,2.2318,0.3001,2.7629,0.0861,13.4487,0.0209,73.512,0.0284,0.0209,73.512
1227,2008-02-10 3:17,1,2457.42,2173.4889,1145.797,0.9402,104.0556,0.1247,1.4827,0.0047,0.0145,0.9685,201.0664,8.6579,411.8199,9.714,0.976,191.3524,12.4647,1.4072,2605.0,-3338.5,2806.3333,1.3293,71.4889,1.8444,0.1433,3.5442,49.3473,66.3989,86.3856,7.74,5.46,353.7382,10.2466,130.4655,725.6157,1.4083,144.9136,629.1173,194.6481,4.551,4.772,2870.0,0.9273,4.6842,3.8682,354.3764,10.5938,114.3336,14.3118,16.1318,21.8389,703.7768,146.0955,614.8055,130.0806,464.2605,0.0,0.0096,-0.0498,0.0605,0.0027,-0.0271,0.0278,0.01,0.0135,7.4023,0.131,2.3944,0.9671,1907.2316,0.2091,8722.9301,-0.0339,-0.0806,0.0793,-0.0698,-0.0545,0.0095,-0.0259,,,,0.9473,633.7621,0.9896,58.3504,0.5869,0.9784,6.158,16.03,4.137,1.286,2.589,0.6539,2.92,0.2838,0.7772,2.1996,1012.9091,36.022,144.5,112.5,54.7,486.5,0.1703,0.062,0.0569,6.064,7.778,0.3412,0.34,0.0679,356.0,1491.0,7238.0,2.8,1.2,0.071,0.4518,0.2188,0.8643,0.7421,0.1619,0.229,8.69,27.578,0.139,15.92,64.817,0.248,0.0,0.0,0.0707,0.0401,0.0851,0.0573,0.0633,0.1005,0.0804,0.0766,4.8806,0.0034,97.098,0.0806,0.0172,0.0132,,,0.0115,0.0,2.1536,0.0037,0.4369,32.323,34.6501,32.4589,178.9413,3.6996,0.0201,0.0153,1.7645,2.6038,0.1111,0.0863,167.8889,609.4448,4070.158,0.0277,0.0731,0.1777,0.085,0.3239,0.0615,4.9534,0.0871,2.5758,0.0341,1.7585,21.8628,0.0,21.0558,2.9129,0.0,0.0227,0.0184,0.0366,0.0249,0.0181,0.0564,0.041,0.0374,1.4505,35.7001,,,0.0062,0.0004,0.6354,0.0102,14.1621,2.6472,0.0,393.0915,70.04,44.6608,257.9166,33.2996,244.0423,166.7151,58.5179,0.0,43.8236,737.4185,80.603,140.6612,0.0,233.2029,361.186,804.0,565.3137,3.2067,38.567,447.4797,0.0,210.596,800.0,0.0,0.3789,10.4624,0.8273,400.814,73.254,0.9647,0.3064,277.378,0.7163,8.18,533.1809,1.0744,0.1416,1.8871,0.0396,13.1807,,,0.0102,0.0133,130.0641
1238,2008-02-10 9:10,1,2571.41,2199.6556,1140.3983,1.3369,103.0967,0.1227,1.43,0.0129,-0.0088,0.9594,202.5304,10.2424,420.4031,9.8275,0.9658,192.7029,12.6198,1.4031,2442.75,-2753.75,-2362.25,1.3387,71.8778,1.9556,0.142,3.5756,49.3473,66.3989,86.3856,7.74,5.46,364.02,10.2415,133.2709,741.5196,1.4005,149.1218,646.4127,199.5721,4.628,4.874,2875.0,0.9224,4.5319,0.1364,363.5391,10.7023,113.4073,14.3136,19.8636,23.9046,717.615,155.1527,632.0991,171.3744,465.8375,0.0,-0.0124,-0.0659,-0.051,-0.0028,-0.0208,-0.0156,-0.012,0.0018,7.6796,0.1353,2.4212,0.9654,1837.7052,0.1699,8845.25,0.0003,0.0018,-0.3488,-0.0056,0.014,0.0516,0.1014,0.9785,105.1467,229.9273,0.9396,680.6358,0.9729,56.3593,0.6059,0.9714,6.3302,15.78,2.803,0.7474,2.964,0.5029,3.396,0.9934,0.8435,2.2717,1001.4982,41.0741,190.3,232.8,46.5,324.855,0.0894,0.0637,0.0532,5.115,6.065,0.3921,0.29,0.1787,580.0,4788.0,17486.0,2.6,1.8,0.185,0.4518,0.2188,0.8643,0.7421,0.1619,0.349,13.98,18.392,0.2172,12.66,96.881,0.102,0.0,0.0,0.071,0.0445,0.0496,0.0435,0.0271,0.0362,0.0716,0.0832,5.1404,0.0111,117.1183,0.0252,0.0162,0.0148,0.0019,4.7406,0.0203,0.0,1.6721,0.0216,0.3256,22.328,27.6241,69.6364,92.6308,1.8392,0.0202,0.0132,1.7981,1.6568,0.1285,0.0773,259.7247,2006.2907,7264.9884,0.066,0.1288,0.1777,0.085,0.3239,0.0615,6.3654,0.1005,4.0213,0.0678,1.6361,29.3322,0.0,25.6094,3.8559,0.0,0.0208,0.0185,0.0246,0.021,0.0081,0.0148,0.0386,0.0445,1.6935,36.0649,0.0006,0.6279,,0.0009,0.6368,0.0414,7.2893,2.9352,491.8919,606.6999,49.9396,173.872,740.2265,48.5444,0.0,105.6336,47.0206,0.0,52.4151,571.4286,67.5522,97.3026,0.0,130.1711,231.3099,599.1632,0.0,1.7741,14.8414,0.0,0.0,28.4987,0.0,0.0,2.2224,9.11,0.7385,407.182,72.916,0.9586,0.0821,265.642,0.7884,9.38,524.4955,1.0912,0.1474,4.055,0.0527,13.5037,0.0072,37.6251,0.0193,0.0072,37.6251
1241,2008-02-10 14:07,1,2530.11,2175.2556,1022.166,1.2833,100.6222,0.125,1.4679,-0.0033,-0.0022,0.963,204.4147,6.8612,418.7384,10.4049,0.9752,194.0098,12.4845,1.3856,2520.5,-3989.0,4664.6667,1.338,70.5556,2.5333,0.2056,3.405,49.2417,65.971,87.4684,80.46,3.354,365.0173,10.1066,134.1109,741.4278,1.3338,141.5091,640.6373,215.0113,4.587,4.822,2881.0,0.9226,4.5365,0.8527,362.1473,10.6842,114.9636,12.8818,19.1473,23.5717,717.8561,150.6445,627.7555,181.3913,,0.0,-0.0089,-0.0744,-0.0204,0.0084,-0.0168,-0.008,-0.0073,0.0169,8.4805,0.13,2.4381,0.9894,1799.0342,0.1855,8636.1101,0.0368,-0.1518,0.2955,-0.0298,-0.0431,0.0429,0.0323,0.9802,101.0835,231.132,0.9517,731.6696,0.989,58.7259,0.5928,0.9641,6.2949,15.78,2.803,0.7474,2.964,0.5029,3.396,0.9934,0.8435,2.2717,1001.4982,41.0741,77.8,101.6,46.8999,423.1381,0.0519,0.0595,0.0425,7.737,11.675,0.3105,0.44,0.0145,276.0,2410.0,9404.0,3.1,1.0,0.129,0.7097,0.0417,0.5549,0.7793,0.2831,0.618,13.8,18.446,0.254,13.37,62.148,0.08,0.0,0.0,0.0707,0.058,0.0357,0.0362,0.1018,0.0308,0.0929,0.1313,2.1057,0.0013,129.8385,0.104,0.0098,0.0136,0.0015,2.9406,0.0114,0.0,3.4186,0.0203,0.2309,22.328,28.145,36.356,120.0668,1.9095,0.0205,0.0125,2.6139,3.945,0.1042,0.1405,116.0962,1035.6972,5238.7789,0.0436,0.1871,0.284,0.0183,0.2078,0.1219,7.2906,0.2068,3.931,0.0666,1.8723,19.2894,0.0,13.3231,,0.0,0.021,0.0272,0.0164,0.0188,0.0299,0.0143,0.0476,0.0741,0.6403,40.841,0.0005,0.3356,,0.0004,1.0207,0.0414,7.2893,2.2408,0.0,0.0,112.7648,60.4161,201.6007,28.9045,0.0,108.0589,47.8919,0.0,23.2222,790.4962,77.957,174.5721,430.9524,606.4036,385.0,0.0,776.9231,3.5388,56.0427,531.5254,0.0,56.3492,0.0,0.0,2.1022,7.6888,0.8273,400.814,73.254,0.9777,0.5012,264.272,0.5671,4.98,529.9445,1.974,0.2824,2.6691,0.094,14.3055,0.0112,39.4516,0.0283,0.0112,39.4516
1242,2008-02-10 14:10,1,2512.77,2171.8556,1156.6018,1.4025,100.1367,0.1243,1.4496,0.0022,0.0008,0.9544,202.1452,9.1265,412.6262,9.9153,0.9685,192.2299,12.4694,1.4101,2712.75,-3369.5,2314.5,1.3352,68.0778,1.2667,0.1076,3.4367,49.3914,66.362,86.7128,80.84,3.59,350.8564,9.9454,147.0718,742.7585,1.2722,135.6436,633.5718,206.2687,4.619,4.884,2835.0,0.9323,4.5195,-5.7091,353.9227,10.2706,121.3627,17.1627,25.7091,33.6506,709.1078,141.1236,616.4091,108.126,,0.0,0.0852,-0.0189,-0.0297,0.0869,-0.0224,0.0073,-0.0681,0.0207,8.1196,0.1378,2.3718,0.9926,1795.223,0.1602,8952.2602,0.0162,-0.1792,-0.0755,-0.0781,-0.0597,-0.1106,-0.0584,0.9815,101.6006,230.3813,0.9614,763.2762,0.9904,58.2477,0.5952,0.9801,6.2141,16.03,4.137,1.286,2.589,0.6539,2.92,0.2838,0.7772,2.1996,1012.9091,36.022,104.5,165.1,49.5999,319.6329,0.184,0.0687,0.0475,6.256,7.159,0.47,0.66,0.0518,355.0,461.0,20099.0,2.1,1.5,0.108,0.4188,0.0759,0.606,0.6916,0.261,0.463,5.29,25.706,0.0654,16.07,51.742,0.28,0.0,0.0,0.5164,0.0383,0.0668,0.0219,0.0534,0.0948,0.0535,0.0865,2.7725,0.0006,70.627,0.0269,0.017,0.0136,0.0007,4.2126,0.0105,0.0,1.8654,0.004,0.3866,32.323,28.6507,53.2419,120.1953,1.8299,0.0182,0.0119,1.9017,2.2994,0.1334,0.116,154.8018,188.8783,9622.8486,0.0337,0.2168,0.1784,0.0292,0.2212,0.103,5.2764,0.1778,1.7079,0.0181,1.2499,16.3003,0.0,25.0053,,0.0,0.1193,0.0175,0.0305,0.0091,0.0159,0.0495,0.0222,0.0393,1.0035,19.6552,0.0002,0.295,,0.0003,0.5814,0.0102,14.1621,2.6553,0.0,0.0,68.548,13.6816,868.3949,25.0847,131.5446,158.3666,29.2115,0.0,57.6457,606.0144,202.3778,224.9158,25.2014,238.7259,0.0,78.5898,416.8675,3.8064,16.7958,0.0,0.0,95.8606,390.4762,0.0,0.4078,6.1849,0.8273,400.814,73.254,0.9976,0.2467,278.998,0.757,11.68,533.1809,1.0744,0.1416,1.8871,0.0396,13.1807,,,0.0283,0.0112,39.4516
1254,2008-02-10 21:32,1,2598.77,2173.2778,1116.295,0.8525,103.82,0.1237,1.3858,-0.0053,0.0054,0.9668,202.0977,9.8935,401.2945,9.4463,0.9671,192.6515,12.4729,1.4074,2607.25,-4864.5,446.5,1.2845,67.8,2.3667,0.1786,3.4639,49.3589,66.2435,86.4476,8.243,4.393,346.7336,10.0605,135.0509,722.2978,1.3932,146.7136,628.4982,179.6395,4.544,4.777,2837.0,0.9324,4.5386,3.8882,346.4655,10.3717,118.9391,9.6162,16.1118,18.7085,703.5893,154.6355,620.04,185.958,466.1073,0.0,-0.0211,-0.0488,-0.0296,-0.0099,-0.0132,0.0259,-0.0109,-0.0442,7.2125,0.1318,2.4518,0.9859,1896.5954,0.1665,8866.5102,-0.0222,-0.056,-0.2188,-0.0316,-0.0637,-0.058,-0.0466,0.9806,101.3251,229.1286,0.951,763.8163,0.9716,56.5307,0.5969,0.9796,6.2043,15.95,4.269,1.144,2.58,0.6757,2.937,0.5204,0.6778,2.212,1009.9953,41.8011,216.8,199.9,46.0999,657.769,0.0799,0.0947,0.0352,5.726,7.566,0.8259,0.34,0.1497,183.0,3319.0,10969.0,2.3,1.0,0.158,0.5333,0.0836,0.7028,0.6875,0.3087,0.293,14.73,31.732,0.2526,18.88,78.59,0.302,0.0,0.0,0.1282,0.0565,0.0328,0.0509,0.0735,0.081,0.1216,0.128,3.0964,0.0036,136.368,0.024,0.0238,0.0134,0.0015,2.6445,0.007,0.0,3.7251,0.0043,0.2901,26.29,28.4997,67.0387,220.8321,3.9649,0.0255,0.0115,2.0156,2.3585,0.2368,0.0907,97.6776,1396.9153,4967.7244,0.0508,0.1641,0.2079,0.0328,0.2645,0.1317,5.7088,0.09,4.6695,0.0708,1.3549,21.9788,0.0,16.4817,3.0913,0.0,0.0446,0.0265,0.0149,0.0236,0.0226,0.0385,0.0596,0.0565,1.0976,44.8167,0.0004,0.299,0.0052,0.0016,1.1409,0.0114,9.5119,3.234,0.0,654.8837,57.8766,68.229,0.0,43.7487,370.3531,185.3124,89.3754,0.0,31.3861,606.505,115.7194,110.9045,515.443,558.6698,312.7413,0.0,289.4291,2.9981,14.436,0.0,726.7797,33.2871,800.0,0.0,0.438,6.5169,0.8911,407.134,73.496,1.0252,0.165,268.058,0.8057,7.19,529.5182,2.113,0.3068,3.6722,0.0921,14.5194,,,0.0243,0.01,41.0782
1302,2008-04-10 23:18,1,2473.14,2162.1333,998.9095,0.8826,104.9722,0.1246,1.3464,0.014,-0.0122,0.9681,199.9644,9.9062,418.3587,9.9217,0.973,190.0427,12.4992,1.4087,2464.5,-3113.25,-4954.6667,1.357,65.0889,2.1889,0.1842,3.366,49.3914,66.362,86.7128,80.84,3.59,347.8,10.1851,133.6109,723.0099,1.3588,148.0864,629.4973,203.0981,4.593,4.868,2834.0,0.9312,4.5071,1.1655,347.6391,10.5021,114.7764,13.8409,18.8345,25.5696,697.4403,153.2409,615.6564,102.7818,,0.0,0.0188,-0.0212,-0.0607,-0.0005,-0.0234,-0.0389,-0.0119,0.035,7.3561,0.1289,2.449,0.9853,1787.2501,0.1691,8771.65,0.1152,0.2555,-0.308,0.0874,-0.0117,0.1125,-0.1075,0.9799,101.2101,230.1829,0.9528,747.9865,0.9895,58.5606,0.6039,0.9719,6.2868,16.07,4.684,1.757,2.734,0.7673,3.085,-1.83,0.7182,2.1995,1013.1402,45.0112,74.7,139.1,53.2,584.3929,0.1129,0.0564,0.0369,5.83,7.846,0.4638,0.3,0.0214,453.0,4757.0,15343.0,2.3,1.8,0.161,0.4188,0.0759,0.606,0.6916,0.261,0.3,17.14,30.937,0.215,19.26,31.093,0.311,0.0,0.0,0.0687,0.0852,0.0311,0.0519,0.0943,0.0856,0.1024,0.0698,1.933,0.0048,123.7789,0.0308,0.0173,0.0204,0.0033,4.054,0.0124,0.0,4.2443,0.0139,0.2159,26.658,26.0095,45.4768,198.6794,3.5752,0.0193,0.0104,1.844,2.5689,0.1426,0.0922,186.8092,2359.5598,7939.6081,0.0532,0.2197,0.1784,0.0292,0.2212,0.103,5.669,0.0766,5.0883,0.0542,1.9121,10.5455,0.0,24.9377,,0.0,0.0206,0.039,0.0133,0.0226,0.0239,0.0433,0.0531,0.032,0.7643,44.5845,0.0009,0.2854,,0.0003,1.245,0.0062,10.3794,2.4881,402.8571,302.3041,58.8521,152.7985,309.6677,15.3093,0.0,159.8158,82.4018,0.0,65.7976,365.0614,401.8868,51.1934,0.0,402.454,220.1929,864.135,199.7139,2.6386,18.2077,854.321,280.895,41.0256,425.5319,0.0,1.431,8.3251,1.3227,407.708,74.368,0.9789,0.5641,272.014,0.6434,11.15,530.3364,2.027,0.2944,3.4462,0.1001,14.5257,0.0167,68.1642,0.0246,0.0167,68.1642
1303,2008-05-10 0:33,1,2588.74,2164.3666,958.7313,1.3409,104.1344,0.1248,1.5559,-0.0096,0.0028,0.978,198.5676,4.802,412.7689,10.1278,0.9781,188.4398,12.4716,1.4318,2497.25,-3472.5,-1718.25,1.287,66.0111,2.7333,0.2004,3.5288,49.1486,66.3447,86.5659,79.1,2.826,347.6427,10.1539,129.9418,715.8342,1.3469,140.6927,618.2773,205.5836,4.575,4.812,2829.0,0.9329,4.5217,8.1455,346.0655,10.3979,118.0873,11.1593,11.8545,15.0471,700.7871,144.2155,608.3682,108.6893,,0.0,0.0161,-0.0048,-0.0205,-0.0013,-0.0007,-0.0124,-0.0106,0.0035,7.5349,0.1402,2.4287,0.9929,1850.4375,0.1709,9280.83,0.0636,-0.0661,-0.0683,-0.0577,-0.0265,-0.1348,-0.1878,0.9801,101.7647,229.8595,0.958,798.0013,0.9689,53.6104,0.6014,0.9677,6.2008,16.02,4.25,1.281,2.608,0.6914,3.014,-0.7569,0.7403,2.1911,1013.4306,40.2187,91.0,95.2,46.3999,113.0649,0.2052,0.0914,0.0391,4.787,10.354,0.249,0.23,0.023,271.0,1398.0,7052.0,2.4,1.6,0.198,0.5162,0.1156,0.5175,0.6871,0.3146,0.312,20.15,29.865,0.2324,19.45,52.302,0.3,0.0,0.0,0.0758,0.0524,0.0312,0.0565,0.0645,0.0823,0.0956,0.0522,2.9406,0.0011,100.3682,0.0949,0.0206,0.0218,0.0028,2.5733,0.0307,0.0,6.4074,0.0162,0.2627,28.915,25.7518,28.1745,42.7898,1.8178,0.0245,0.0105,1.5529,2.9049,0.0834,0.0662,119.1256,626.2212,3402.956,0.0506,0.1327,0.1964,0.0468,0.1856,0.1214,5.7746,0.1004,5.5869,0.0619,2.0918,17.1737,0.0,6.2884,,0.0,0.0253,0.024,0.0141,0.0319,0.023,0.0448,0.0481,0.0239,1.0697,38.6088,0.0008,0.3126,,0.0121,1.7492,0.0104,9.2412,2.4834,951.4639,0.0,99.6876,40.2592,410.4176,25.4407,217.0536,160.8525,149.1411,0.0,16.7615,470.0775,0.0,152.5672,0.0,0.0,665.0505,897.6526,0.0,1.7827,55.5333,0.0,0.0,51.8112,800.0,0.0,1.6772,8.5063,0.9008,407.43,73.292,0.9663,0.6445,264.272,0.5671,4.98,529.9445,1.974,0.2824,2.6691,0.094,14.3055,0.0159,77.973,0.0204,0.0159,77.973
